Studento vardas   Pavarde              ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9  ND10  ND11  ND12  ND13  ND14  ND15   Egzamino rez
Vardas1           Pavarde1               3     8     6     3     9     4     1     9    10     6     3     6     8     9     6              7
Vardas2           Pavarde2               1     6     4     6     3    10     7     1     3     1     9     4     1    10     5              6
Vardas3           Pavarde3              10     9     7     3     3     5     3     7     2     4     5     4     4     7     1              3
Vardas4           Pavarde4               3     7     6     4     4     9    10    10    10    10     9     1     7     7     2              4
Vardas5           Pavarde5               6     4     8     8     3     5     2     3    10     6     9    10    10     1     5              7
Vardas6           Pavarde6               2     2     6     2     8     9     6     7     9    10     7     6     2     5     5              1
Vardas7           Pavarde7               1     6     9     2     7     1     2     5     5     4    10     7     4     1     7              1
Vardas8           Pavarde8               3     3     4     3     9     9     3     2     7     9     5     2    10     2     4              5
Vardas9           Pavarde9               6     9     6     5     3     6     1     9     6     8     2     2     8     1     3              8
Vardas10          Pavarde10              2     8    10     3     6     2     4     7     9     1     3     1     2     5     7             10
Vardas11          Pavarde11              2     3     3     6     5    10     2     8     7     4     1    10     4    10     4              2
Vardas12          Pavarde12              4     1     8     6     8     2     3     1     8     8     6     6     9    10     4              5
Vardas13          Pavarde13              7     5     4     8     5     1    10     9     1     4     6     8     7     8     8              6
Vardas14          Pavarde14              4     8     9     5     1     7     1    10     9     2     2     9     1    10    10             10
Vardas15          Pavarde15              1     5    10     7     1    10     9     3     9     1     7     4     3    10     5              7
Vardas16          Pavarde16              4     4     2    10     6     8     2     5     4     4     5     9     9     7    10              2
Vardas17          Pavarde17              6     2     4     9     4     6     9     3     1     4     6     5     2     5     6              6
Vardas18          Pavarde18              6     3     6     8     8    10     4     1     5     6     8     5     2     3    10              3
Vardas19          Pavarde19              5     4     2     3     7     9     7     7     3     1     2     8     3     1     9              4
Vardas20          Pavarde20              9    10     1     2     5     1     2     3     9     7     7     7     2     2     4              4
Vardas21          Pavarde21              6     2    10     4     3    10     5     9    10     9     4     6     7     4     6              7
Vardas22          Pavarde22              1     1     9     5     2     2    10     6     5     4     8     2     4     2     7              3
Vardas23          Pavarde23              9     6     3     8     4     7     9     9     3     6     8     7     6     1     6             10
Vardas24          Pavarde24              2     1     5     8     7     9     6     5     9     3     2     4     9     2     7              6
Vardas25          Pavarde25              1    10     7     4     9     6     1    10     5    10    10     3    10     3     3              3
Vardas26          Pavarde26             10    10     3     3     3     8     7     1     2     8     9     2     3     7    10              7
Vardas27          Pavarde27              1     6    10    10     4     3    10     2     1     1     4     6     8    10     5              7
Vardas28          Pavarde28              8     8     7     9     9     7     7     8     7     7     6    10     5     5     9              6
Vardas29          Pavarde29              5     4     6     4     4     2     9     3     9     5     4     8     4     3     5             10
Vardas30          Pavarde30              8    10     2     2     3     6     6     5     4     6     5     9     6     3     6              8
